mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
M100X5.1,"5,1",102,"57,2","2,34","3,3","95,4","95,4","6,52",119,"23,4","4,27","26,2","10,3","3,62","1,26","5,67","1,47",341,"8,65","33,9","0,25","0,43"
M100X4.8,"4,8",102,"57,2","2,34","3,3","95,4","95,4","6,52",119,"23,4","4,27","26,2","10,3","3,62","1,26","5,67","1,47",341,"8,65","33,9","0,25","0,43"
M100X4.3,"4,3","76,2","57,2","2,29","3,3","69,6","69,6","5,9","62,4","16,4","3,25","18,4","10,3","3,62","1,32","5,64","1,52",329,"8,65","23,6",137,"0,38"
S610X180,180,622,204,"20,3","27,7","566,6","566,6",229,132000,4230,24,5010,3450,338,"3,89",595,"4,93",533,"3,69","25,9",3060,"2,02"
S610X158,158,622,200,"15,7","27,7","566,6","566,6",201,122000,3930,"24,7",4570,3200,320,"3,99",547,"4,90",420,"3,61","33,4",2820,"2,01"
S610X149,149,610,184,"18,9","22,1","565,8","565,8",189,99100,3260,"22,9",3920,1970,215,"3,23",393,"4,22",316,"4,16","27,8",1710,"1,92"
S610X134,134,610,181,"15,9","22,1","565,8","565,8",171,93700,3060,"23,4",3640,1860,205,"3,3",367,"4,22",252,"4,09","33,1",1610,"1,91"
S610X119,119,610,178,"12,7","22,1","565,8","565,8",152,87400,2870,"24,1",3340,1750,197,"3,4",341,"4,24",204,"4,02","41,4",1510,"1,91"
S510X143,143,516,183,"20,3","23,4","469,2","469,2",182,69500,2700,"19,6",3240,2080,228,"3,38",408,"4,34",350,"3,91","21,1",1260,"1,72"
S510X128,128,516,179,"16,8","23,4","469,2","469,2",163,65300,2540,20,3000,1940,216,"3,45",379,"4,34",277,"3,84","25,6",1170,"1,71"
S510X112,112,508,162,"16,1","20,2","467,6","467,6",142,53300,2100,"19,4",2490,1230,152,"2,95",274,"3,78",191,"4,02","26,6",730,"1,63"
S510X98.2,"98,2",508,159,"12,8","20,2","467,6","467,6",125,49500,1950,"19,9",2280,1140,144,"3,02",252,"3,78",149,"3,93","33,5",679,"1,63"
S460X104,104,457,159,"18,1","17,6","421,8","421,8",132,38400,1690,17,2030,999,126,"2,74",234,"3,61",171,"4,52","21,5",483,"1,51"
S460X81.4,"81,4",457,152,"11,7","17,6","421,8","421,8",103,33300,1460,18,1700,862,113,"2,9",198,"3,61",97,"4,34","33,2",416,"1,5"
S380X74,74,381,143,14,"15,8","349,4","349,4","94,8",20200,1060,"14,6",1260,649,"90,6","2,62",164,"3,35","88,2","4,53","22,7",216,"1,31"
S380X64,64,381,140,"10,4","15,8","349,4","349,4","81,3",18600,973,"15,1",1130,595,85,"2,69",149,"3,33","64,1","4,42","30,4",198,"1,3"
S310X74,74,305,139,"17,4","16,7","271,6","271,6","94,8",12600,829,"11,6",998,649,"93,2","2,62",169,"3,35",115,"4,16","13,7",135,"1,13"
S310X60.7,"60,7",305,133,"11,7","16,7","271,6","271,6","76,8",11200,739,"12,1",864,562,"84,1","2,69",145,"3,30","70,3","3,98","20,6",116,"1,12"
S310X52,52,305,129,"10,9","13,8","277,4","277,4","65,8",9490,624,12,731,410,"63,6","2,49",111,"3,10","43,7","4,67","23,1","86,7","1,1"
S310X47.3,"47,3",305,127,"8,89","13,8","277,4","277,4","60,1",9030,593,"12,3",685,388,"61,1","2,54",106,"3,07","36,5","4,6","28,3","82,2","1,1"
S250X52,52,254,125,"15,1","12,5",229,229,"66,5",6120,482,"9,6",580,345,"55,1","2,28",101,"2,95","53,7","5,03","13,4","50,5","0,98"
S250X37.8,"37,8",254,118,"7,9","12,5",229,229,"48,1",5120,403,"10,3",464,280,"47,4","2,41","81,8","2,90","25,1","4,75","25,6","40,8","0,9642"
S200X34,34,203,106,"11,2","10,8","181,4","181,4","43,6",2690,265,"7,85",315,178,"33,6","2,02","60,1","2,54","22,9","4,91","14,1","16,4","0,8076"
S200X27.4,"27,4",203,102,"6,88","10,8","181,4","181,4","34,8",2390,236,"8,28",270,154,"30,2","2,1","52,1","2,50","13,9","4,71","22,9","14,2","0,80024"
S150X25.7,"25,7",152,"90,7","11,8","9,12","133,76","133,76","32,6",1090,143,"5,79",172,"95,3",21,"1,71","38,5","2,18","15,4","4,97","9,67","4,89","0,6432"
S150X18.6,"18,6",152,"84,6","5,89","9,12","133,76","133,76","23,6",916,120,"6,22",138,"74,9","17,7","1,78","30,5","2,11","6,95","4,64","19,4","3,84","0,63062"
S130X15,15,127,"76,2","5,44","8,28","110,44","110,44","18,9",512,"80,3","5,21","92,8","49,5",13,"1,62","22,5","1,92","4,75","4,61","16,8","1,75","0,54792"
S100X14.1,"14,1",102,"71,1","8,28","7,44","87,12","87,12",18,281,"55,4","3,96","66,2","36,9","10,4","1,43","18,5","1,77","4,99","4,77","8,33",819,"0,47184"
S100X11.5,"11,5",102,"67,6","4,9","7,44","87,12","87,12","14,6",252,"49,7","4,17","57,4","31,1","9,21","1,46","15,9","1,72","3,05","4,54","14,1","0,69","0,4646"
S75X11.2,"11,2","76,2","63,8","8,86","6,6",63,63,"14,2",121,"31,8","2,92","38,5","24,1","7,55","1,3","13,5","1,62","3,73","4,83","5,38","0,29","0,38988"
S75X8.5,"8,5","76,2","59,2","4,32","6,6",63,63,"10,7",104,"27,4","3,12","31,8","18,6","6,28","1,32","10,7","1,54","1,8","4,48",11,225,"0,38056"
HP460X304,304,465,"459,74","28,7","28,7","407,6","407,6",388,145000,6230,"19,3",7100,46600,2030,"10,9",3130,"12,80",1230,"8,01","12,1",22200,"2,71156"
HP460X269,269,457,"457,2","25,4","25,4","406,2","406,2",343,126000,5510,"19,1",6210,40500,1770,"10,9",2740,"12,60",862,9,"13,6",18900,"2,692"
HP460X234,234,451,"454,66","22,1","22,1","406,8","406,8",298,107000,4750,"18,9",5360,34700,1530,"10,8",2340,"12,50",579,"10,3","15,6",15800,"2,67644"
HP460X202,202,445,"452,12","19,1","19,1","406,8","406,8",257,91600,4110,"18,9",4600,29400,1300,"10,7",2000,"12,30",380,"11,9","18,2",13300,"2,66028"
HP410X272,272,419,414,"28,7","28,7","361,6","361,6",349,104000,4980,"17,3",5720,34000,1640,"9,88",2560,"11,60",1120,"7,21","10,5",13000,"2,4366"
HP410X242,242,414,"408,94","25,4","25,4","363,2","363,2",308,91200,4410,"17,2",5010,29000,1420,"9,7",2200,"11,30",783,"8,05","11,9",11000,"2,41296"
HP410X211,211,406,"406,4","22,2","22,2","361,6","361,6",269,77800,3830,17,4330,24900,1230,"9,63",1900,"11,20",537,"9,14","13,6",9210,"2,3932"
HP410X181,181,401,"403,86","19,1","19,1","362,8","362,8",231,66200,3290,"16,9",3700,21000,1040,"9,53",1600,"11,00",348,"10,6","15,9",7650,"2,37924"
HP410X151,151,394,"401,32","15,9","15,9","362,2","362,2",193,54100,2750,"16,7",3060,17100,855,"9,42",1310,"10,80",211,"12,6",19,6120,"2,36148"
HP410X131,131,389,"398,78","13,7","13,7","361,6","361,6",166,46200,2380,"16,7",2640,14500,729,"9,35",1120,"10,70",144,"14,5",22,5100,"2,34572"
HP360X174,174,361,378,"20,4","20,4","320,2","320,2",222,50800,2820,"15,1",3180,18400,975,"9,12",1500,"10,50",334,"9,25","14,2",5340,"2,1932"
HP360X152,152,356,376,"17,9","17,9","320,2","320,2",194,43700,2460,15,2770,15800,842,"9,04",1290,"10,40",224,"10,5","16,2",4510,"2,1802"
HP360X132,132,351,373,"15,6","15,6","319,8","319,8",168,37600,2150,"14,9",2390,13600,726,"8,97",1110,"10,30",149,"11,9","18,5",3810,"2,1628"
HP360X108,108,345,371,"12,8","12,8","319,4","319,4",138,30300,1750,"14,8",1930,10900,587,"8,86",895,"10,20","83,7","14,4","22,6",3010,"2,1484"
HP310X125,125,312,312,"17,4","17,4","277,2","277,2",159,27100,1740,"13,1",1970,8870,567,"7,47",872,"8,66",176,"8,97","14,2",1920,"1,8372"
HP310X110,110,307,310,"15,4","15,5",276,276,141,23700,1540,13,1720,7740,498,"7,42",764,"8,59",124,10,"16,1",1650,"1,8232"
HP310X93,93,302,307,"13,1","13,1","275,8","275,8",119,19600,1300,"12,9",1450,6370,415,"7,32",634,"8,46","76,2","11,8","18,9",1340,"1,8058"
HP310X79,79,300,305,11,11,278,278,100,16400,1090,"12,8",1210,5290,346,"7,26",528,"8,36","46,6","13,8","22,3",1100,"1,798"
HP250X85,85,254,259,"14,4","14,4","225,2","225,2",108,12200,964,"10,6",1090,4200,323,"6,22",497,"7,21",82,"9,03","13,9",602,"1,5152"
HP250X62,62,246,257,"10,5","10,7","224,6","224,6",80,8740,711,"10,5",791,2980,233,"6,12",357,"7,04","33,8",12,"18,9",414,"1,499"
HP200X53,53,204,207,"11,3","11,3","181,4","181,4","68,4",4950,488,"8,53",551,1680,162,"4,95",249,"5,74",32,"9,16","14,2",155,"1,2134"
C380X74,74,381,"94,5","18,2","16,5",348,348,"94,8",16800,882,"13,3",1120,458,"61,8","2,2",133,"2,97",110,"2,86","17,7",132,"1,1036"
C380X60,60,381,"89,4","13,2","16,5",348,348,"76,1",14500,762,"13,8",942,382,"54,7","2,24",112,"2,92","60,4","2,71","24,4",110,"1,0932"
C380X50.4,"50,4",381,"86,4","10,2","16,5",348,348,"64,5",13100,688,"14,2",832,336,"50,6","2,29",101,"2,87",42,"2,62","31,8","96,1","1,0872"
C310X45,45,305,"80,5",13,"12,7","279,6","279,6","56,8",6740,442,"10,9",554,213,"33,6","1,94","70,8","2,57","35,8","3,17","20,1","40,5","0,906"
C310X37,37,305,"77,5","9,83","12,7","279,6","279,6","47,4",5990,393,"11,3",482,185,"30,6","1,98","62,6","2,54","22,4","3,05","26,5","34,9","0,90034"
C310X30.8,"30,8",305,"74,7","7,16","12,7","279,6","279,6","39,2",5370,352,"11,7",420,161,"28,2","2,02","56,9","2,50","15,4","2,94","36,3","30,1","0,89448"
C250X45,45,254,77,"17,1","11,1","231,8","231,8","56,8",4290,339,"8,71",438,164,27,"1,7","61,9","2,35","50,8","3,47","12,6","21,3","0,7818"
C250X37,37,254,"73,4","13,4","11,1","231,8","231,8","47,4",3790,298,"8,94",379,139,"24,1","1,71","52,1","2,31","28,6","3,31","16,1","18,3","0,7748"
C250X30,30,254,"69,6","9,63","11,1","231,8","231,8","37,9",3280,259,"9,32",318,117,"21,5","1,75","44,2","2,27","15,3","3,14","22,3","15,3","0,76714"
C250X22.8,"22,8",254,66,"6,1","11,1","231,8","231,8","28,9",2800,221,"9,86",261,"94,5","18,8","1,81","38,3","2,20","8,7","2,97","35,3","12,2","0,7598"
C230X30,30,229,"67,3","11,4","10,5",208,208,"37,9",2530,221,"8,18",277,100,"19,2","1,63","40,3","2,16","17,8","3,2","16,8","10,6","0,7044"
C230X22,22,229,"63,2","7,24","10,5",208,208,"28,4",2120,185,"8,64",223,"79,5","16,6","1,67","33,4","2,10","8,66","3,01","26,4","8,32","0,69632"
C230X19.9,"19,9",229,"61,7","5,92","10,5",208,208,"25,4",1990,174,"8,84",206,"72,8","15,6","1,69","31,8","2,07","6,99","2,94","32,2","7,57","0,69296"
C200X27.9,"27,9",203,"64,3","12,4","9,91","183,18","183,18","35,5",1830,180,"7,16",228,82,"16,6","1,52","35,6","2,03","18,1","3,24","13,5","6,74","0,6384"
C200X20.5,"20,5",203,"59,4","7,7","9,91","183,18","183,18",26,1500,148,"7,59",180,"63,3","13,9","1,56","28,3","1,97","7,74",3,"21,8","5,16","0,6282"
C200X17.1,"17,1",203,"57,4","5,59","9,91","183,18","183,18","21,7",1350,133,"7,9",158,"54,5","12,7","1,58","25,7","1,92","5,41","2,9",30,"4,43","0,62442"
C180X22,22,178,"58,4","10,6","9,3","159,4","159,4","27,9",1130,127,"6,38",160,57,"12,7","1,42","26,7","1,87","11,1","3,14","13,5","3,52","0,5684"
C180X18.2,"18,2",178,"55,6","7,98","9,3","159,4","159,4","23,2",1010,113,"6,58",139,"48,3","11,4","1,44","23,3","1,83","6,7","2,99",18,"3,01","0,56244"
C180X14.6,"14,6",178,"53,1","5,33","9,3","159,4","159,4","18,5",882,"99,5","6,91",118,"39,8","10,1","1,47","20,6","1,77","4,15","2,85","26,9","2,46","0,55774"
C150X19.3,"19,3",152,"54,9","11,1","8,71","134,58","134,58","24,6",720,"94,7","5,41",119,"43,7","10,5","1,33","22,1","1,75","9,86","3,15",11,"1,93","0,5014"
C150X15.6,"15,6",152,"51,6","7,98","8,71","134,58","134,58","19,8",629,"82,6","5,64",101,"35,8","9,19","1,34","18,7","1,70","5,33","2,96","15,3","1,59","0,49444"
C150X12.2,"12,2",152,"48,8","5,08","8,71","134,58","134,58","15,4",545,"71,3","5,94","84,6","28,6",8,"1,36","16,2","1,63","3,06","2,8","24,1","1,26","0,48904"
C130X13,13,127,48,"8,26","8,13","110,74","110,74",17,370,"58,3","4,67","71,9",26,"7,28","1,23",15,"1,56","4,54","2,95","11,7",787,"0,42948"
C130X10.4,"10,4",127,"44,5","4,83","8,13","110,74","110,74","12,7",311,49,"4,95","58,2","19,6","6,1","1,24","12,4","1,48","2,29","2,74",20,596,"0,42234"
C100X10.8,"10,8",102,"43,7","8,15","7,52","86,96","86,96","13,7",191,"37,5","3,73","46,5","17,7","5,52","1,14","11,4","1,43","3,4","2,91","8,9",333,"0,3625"
C100X9.3,"9,3",102,"41,91","6,2738","6,91","88,18","88,18","11,4",166,"32,8","3,81","39,8","14,4","4,65","1,12","9,32","1,39","2,03","3,03","11,7",277,"0,3590924"
C100X8,8,102,"40,1","4,67","7,52","86,96","86,96","10,2",160,"31,5","3,96","37,5",13,"4,54","1,13","9,26","1,34","1,66","2,67","15,5",247,"0,35506"
C100X6.7,"6,7",102,"40,1","3,18","7,52","86,96","86,96","8,9",152,30,"4,14","34,7",12,"4,34","1,16","8,7","1,33","1,34","2,67","22,8",234,"0,35804"
C75X8.9,"8,9","76,2","40,6","9,04","6,93","62,34","62,34","11,4","86,2","22,6","2,77","28,5","12,5","4,31","1,05","8,9","1,32","3,02","2,93","5,38",124,"0,29672"
C75X7.4,"7,4","76,2","38,1","6,55","6,93","62,34","62,34","9,48",77,"20,2","2,84","24,9",10,"3,74","1,03","7,6","1,26","1,77","2,75","7,42",102,"0,2917"
C75X6.1,"6,1","76,2","35,8","4,32","6,93","62,34","62,34","7,74","68,7",18,3,"21,6","7,95","3,21","1,01","6,54","1,19","1,12","2,58","11,3","0,0824","0,28696"
C75X5.2,"5,2","76,2","34,8","3,35","6,93","62,34","62,34","7,03","65,3",17,"3,05","20,3","7,03","2,98",1,"5,96","1,16",941,"2,51","14,5","0,0741","0,2849"
MC460X86,86,457,107,"17,8","15,9","425,2","425,2",110,28100,1230,16,1560,733,"86,5","2,59",175,"3,43",117,"3,36","22,1",287,"1,3064"
MC460X77.2,"77,2",457,104,"15,2","15,9","425,2","425,2","98,7",26100,1140,"16,3",1430,678,"82,3","2,62",162,"3,43","84,5","3,27","25,8",265,"1,2996"
MC460X68.2,"68,2",457,102,"12,7","15,9","425,2","425,2","87,1",24100,1050,"16,6",1300,620,"78,2","2,67",150,"3,40","60,4","3,21",31,241,"1,2966"
MC460X63.5,"63,5",457,100,"11,4","15,9","425,2","425,2","81,3",23100,1010,"16,9",1230,595,76,"2,72",145,"3,40","51,2","3,14","34,4",229,"1,2912"
MC330X74,74,330,112,20,"15,5",299,299,"94,8",13100,791,"11,7",996,683,"78,2","2,69",167,"3,58",123,"3,61","13,7",150,"1,068"
MC330X60,60,330,106,"14,2","15,5",299,299,"75,5",11400,687,"12,2",839,570,"69,5","2,74",142,"3,51","64,5","3,42","19,3",124,"1,0556"
MC330X52,52,330,103,"11,4","15,5",299,299,"66,5",10500,636,"12,6",762,512,"65,1","2,77",132,"3,43",47,"3,32","24,2",111,"1,0492"
MC330X47.3,"47,3",330,102,"9,53","15,5",299,299,"60,3",9950,601,"12,8",711,475,"62,1","2,79",126,"3,40",39,"3,29","28,9",102,"1,04894"
MC310X74,74,305,105,"21,2","17,8","269,4","269,4","94,8",11200,736,"10,9",926,724,"92,4","2,77",179,"3,48",134,"2,95","11,5",110,"0,9876"
MC310X67,67,305,102,18,"17,8","269,4","269,4","85,2",10400,687,"11,1",852,658,"86,9","2,77",166,"3,43",97,"2,87","13,5",100,"0,982"
MC310X60,60,305,"98,8",15,"17,8","269,4","269,4","76,1",9740,639,"11,3",782,591,"81,6","2,79",153,"3,38","70,3","2,78","16,3","90,2","0,9752"
MC310X52,52,305,"95,8","11,8","17,8","269,4","269,4","66,5",8990,590,"11,7",708,524,76,"2,82",141,"3,30","51,6","2,69","20,6","79,8","0,9696"
MC310X46,46,305,"93,2","9,4","17,8","269,4","269,4","58,8",8410,552,12,651,470,"71,6","2,82",134,"3,25","41,6","2,62","25,9","71,7","0,964"
MC310X21.3,"21,3",305,53848,"6,35","7,9502","289,0996","289,0996",27,3170,208,"10,8",261,"41,6","9,41","1,24","19,8","1,71","4,87","3386,58","43,5","8,81","215,9893"
MC310X15.8,"15,8",305,"38,1","4,83","7,85","289,3","289,3",20,2300,151,"10,7",190,"15,7","5,03",886,"10,4","1,21","2,48","2,43","57,3","3,14","0,75274"
MC250X61.2,"61,2",254,110,"20,2","14,6","224,8","224,8","78,1",6530,516,"9,17",644,653,"79,5","2,9",156,"3,66","94,1","3,77","9,66","72,2","0,9076"
MC250X50,50,254,104,"14,6","14,6","224,8","224,8","63,7",5790,456,"9,53",552,545,"71,3","2,92",136,"3,56","49,9","3,56","13,4","60,2","0,8948"
MC250X42.4,"42,4",254,100,"10,8","14,6","224,8","224,8",54,5240,415,"9,88",492,470,"65,4","2,95",124,"3,45","32,9","3,42","18,1","51,8","0,8864"
MC250X37,37,254,"86,6","9,65","14,6","224,8","224,8","47,4",4580,361,"9,83",429,302,"48,5","2,52","92,6","2,97","26,6","2,97","20,2","33,3","0,8351"
MC250X33,33,254,"84,3","7,37","14,6","224,8","224,8","41,6",4250,336,"10,1",392,266,"45,1","2,53","86,7","2,90","21,2","2,89","26,5","29,5","0,83046"
MC250X12.5,"12,5",254,"38,1","4,32","7,11","239,78","239,78","15,9",1330,105,"9,17",130,"13,6","4,39",925,"8,98","1,23","1,72","2,68","52,6","1,88","0,65176"
MC250X9.7,"9,7",254,"29,7","3,86","5,13","243,74","243,74","12,6",953,"75,2","8,71","96,7","5,54","2,25",665,"4,65","922,00",795,"2,89","59,8",741,"0,61908"
MC230X37.8,"37,8",229,"88,9","11,4",14,201,201,"48,2",3660,320,"8,71",385,315,49,"2,57","93,4","3,05","28,8","3,18","15,1","27,9","0,7908"
MC230X35.6,"35,6",229,"87,6","10,2",14,201,201,"45,3",3530,310,"8,84",369,297,"47,4","2,57","90,3","3,00","24,9","3,13",17,"26,3","0,788"
MC200X33.9,"33,9",203,"88,9","10,8","13,3","176,4","176,4","43,2",2660,261,"7,85",313,292,46,"2,59",88,"3,05","23,8","3,34","13,8","20,2","0,74"
MC200X31.8,"31,8",203,"87,6","9,53","13,3","176,4","176,4","40,5",2560,252,"7,95",298,274,"44,4","2,59","84,9","3,00","20,6","3,29","15,7",19,"0,73734"
MC200X29.8,"29,8",203,77,"10,2","12,7","177,6","177,6","37,9",2260,223,"7,72",269,184,"33,1","2,2","63,3","2,62","18,4","3,03",15,"12,8","0,6936"
MC200X27.8,"27,8",203,"75,7","8,97","12,7","177,6","177,6","35,5",2180,215,"7,85",256,173,32,"2,2",61,"2,59","15,8","2,98",17,"12,1","0,69086"
MC200X12.6,"12,6",203,"47,5","4,55","7,9","187,2","187,2","16,1",970,"95,4","7,75",114,26,"7,06","1,27","14,3","1,58","2,44","3,01","38,4","2,2","0,5869"
MC180X33.8,"33,8",178,"91,4","12,8","12,7","152,6","152,6",43,1970,221,"6,78",269,301,"46,4","2,64","88,2","3,12",26,"3,6","9,94","15,7","0,696"
MC180X28.4,"28,4",178,"87,6","8,94","12,7","152,6","152,6","36,2",1790,202,"7,04",238,252,"41,8","2,64","79,5","3,02","16,9","3,45","14,2","13,2","0,68852"
MC150X26.8,"26,8",152,"88,9","9,63","12,1","127,8","127,8","34,1",1240,162,"6,02",192,245,"40,5","2,67","76,7","3,05","15,8","3,67","10,8","9,29","0,64034"
MC150X22.8,"22,8",152,"88,9","8,64","9,78","132,44","132,44",29,1050,138,"6,05",162,204,"32,9","2,67","63,1","3,05","9,28","4,54","13,1","8,06","0,64232"
MC150X24.3,"24,3",152,"76,2","9,53","12,1","127,8","127,8","30,9",1080,142,"5,92",170,157,"29,8","2,25","56,9","2,62",14,"3,15","10,9","5,93","0,58974"
MC150X22.5,"22,5",152,"74,7","8,03","12,1","127,8","127,8","28,6",1040,136,"6,02",161,144,"28,3","2,24","54,1","2,57","11,9","3,09","12,9","5,5","0,58674"
MC150X17.9,"17,9",152,"63,5","7,87","9,53","132,94","132,94","22,8",778,102,"5,84",122,77,"16,9","1,84","32,3","2,17","6,45","3,33","14,5","3,03","0,54226"
MC150X10.4,"10,4",152,"47,8","4,55","7,39","137,22","137,22","13,5",475,"62,4","5,94","73,7","25,1","7,19","1,36","14,2","1,62","1,93","3,23",26,"1,07","0,4861"
MC150X9.7,"9,7",152,47,"3,94","7,39","137,22","137,22","12,6",458,60,"6,05","70,1","23,5","6,92","1,37","13,7","1,60","1,71","3,18","30,1","1,01","0,48412"
MC100X20.5,"20,5",102,"63,5","12,7","12,7","76,6","76,6",26,368,"72,6","3,76","90,6","88,7","21,1","1,85","39,3","2,16","15,5","2,5","4,48","1,3","0,4326"
MC75X10.6,"10,6","76,2","49,3","7,92","8,92","58,36","58,36","13,6",113,"29,7","2,9","36,7","27,7","8,49","1,43","16,4","1,67","3,86","2,76","4,93",246,"0,33376"
L203X203X28.6,"84,7",203,0,0,0,203,203,108,4080,287,"6,12",518,4080,287,"6,12",518,"0,00",297,0,0,"8,73","0,406"
L203X203X25.4,"75,9",203,0,0,0,203,203,"97,4",3710,259,"6,17",467,3710,259,"6,17",467,"0,00",211,0,0,"6,28","0,406"
L203X203X22.2,67,203,0,0,0,203,203,"85,8",3320,229,"6,22",415,3320,229,"6,22",415,"0,00",144,0,0,"4,32","0,406"
L203X203X19,"57,9",203,0,0,0,203,203,"74,2",2910,200,"6,25",361,2910,200,"6,25",361,"0,00",92,0,0,"2,79","0,406"
L203X203X15.9,"48,7",203,0,0,0,203,203,"62,5",2480,169,"6,3",305,2480,169,"6,3",305,"0,00","54,1",0,0,"1,65","0,406"
L203X203X14.3,44,203,0,0,0,203,203,"56,6",2260,153,"6,32",275,2260,153,"6,32",275,"0,00",40,0,0,"1,22","0,406"
L203X203X12.7,"39,3",203,0,0,0,203,203,"50,6",2030,137,"6,32",247,2030,137,"6,32",247,"0,00","28,4",0,0,867,"0,406"
L203X152X25.4,"65,5",152,0,0,0,152,152,"84,5",3370,247,"6,32",447,1610,146,"4,37",265,"0,00",181,0,0,"4,38","0,304"
L203X152X22.2,"57,9",152,0,0,0,152,152,"74,2",3010,220,"6,35",398,1450,130,"4,42",236,"0,00",123,0,0,"3,03","0,304"
L203X152X19,"50,1",152,0,0,0,152,152,"64,5",2640,192,"6,4",346,1280,113,"4,45",205,"0,00","79,1",0,0,"1,95","0,304"
L203X152X15.9,"42,2",152,0,0,0,152,152,"54,3",2260,162,"6,45",293,1100,"96,4","4,5",172,"0,00","46,6",0,0,"1,16","0,304"
L203X152X14.3,"38,1",152,0,0,0,152,152,"49,1",2060,147,"6,48",265,1000,"87,5","4,52",156,"0,00","34,3",0,0,859,"0,304"
L203X152X12.7,"34,1",152,0,0,0,152,152,"43,9",1850,131,"6,48",239,903,"78,5","4,55",140,"0,00","24,3",0,0,612,"0,304"
L203X152X11.1,"29,9",152,0,0,0,152,152,"38,6",1640,116,"6,5",211,803,"69,3","4,57",123,"0,00","16,5",0,0,416,"0,304"
L203X102X25.4,"55,4",102,0,0,0,102,102,"71,6",2900,229,"6,38",398,483,"64,6","2,62",127,"0,00",153,0,0,"3,46","0,204"
L203X102X22.2,"49,3",102,0,0,0,102,102,"63,2",2610,205,"6,43",356,437,"57,5","2,64",111,"0,00",104,0,0,"2,39","0,204"
L203X102X19,"42,5",102,0,0,0,102,102,"54,8",2290,179,"6,48",310,390,"50,3","2,67","95,4","0,00",67,0,0,"1,54","0,204"
L203X102X15.9,36,102,0,0,0,102,102,"46,2",1960,151,"6,5",264,338,"42,9","2,69","79,6","0,00","39,8",0,0,918,"0,204"
L203X102X14.3,"32,4",102,0,0,0,102,102,"41,9",1790,137,"6,53",239,310,39,"2,72","71,9","0,00","29,3",0,0,679,"0,204"
L203X102X12.7,29,102,0,0,0,102,102,"37,4",1610,123,"6,55",215,281,"35,2","2,74","64,1","0,00","20,9",0,0,483,"0,204"
L203X102X11.1,"25,6",102,0,0,0,102,102,33,1420,108,"6,58",190,251,"31,1","2,77",56,"0,00","14,2",0,0,328,"0,204"
L178X102X19,"38,8",102,0,0,0,102,102,"49,9",1570,137,"5,61",243,375,"49,3","2,74","91,8","0,00","61,2",0,0,"1,07","0,204"
L178X102X15.9,"32,7",102,0,0,0,102,102,"41,9",1350,117,"5,66",205,324,42,"2,79","76,9","0,00","36,1",0,0,636,"0,204"
L178X102X12.7,"26,5",102,0,0,0,102,102,"33,9",1110,"94,9","5,72",167,270,"34,4","2,82","61,8","0,00",19,0,0,336,"0,204"
L178X102X11.1,"23,4",102,0,0,0,102,102,"29,9",982,"83,7","5,74",148,241,"30,5","2,84","54,2","0,00","12,9",0,0,229,"0,204"
L178X102X9.5,"20,2",102,0,0,0,102,102,"25,8",853,"72,4","5,77",128,211,"26,4","2,84","46,5","0,00","8,24",0,0,146,"0,204"
L152X152X25.4,"55,7",152,0,0,0,152,152,71,1470,140,"4,55",252,1470,140,"4,55",252,"0,00",153,0,0,"2,48","0,304"
L152X152X22.2,"49,3",152,0,0,0,152,152,"62,9",1330,125,"4,6",225,1330,125,"4,6",225,"0,00",104,0,0,"1,72","0,304"
L152X152X19,"42,7",152,0,0,0,152,152,"54,6",1170,109,"4,62",195,1170,109,"4,62",195,"0,00",67,0,0,"1,12","0,304"
L152X152X15.9,36,152,0,0,0,152,152,46,1000,"92,4","4,67",166,1000,"92,4","4,67",166,"0,00","39,8",0,0,671,"0,304"
L152X152X14.3,"32,6",152,0,0,0,152,152,"41,6",916,"83,9","4,7",150,916,"83,9","4,7",150,"0,00","29,3",0,0,497,"0,304"
L152X152X12.7,"29,2",152,0,0,0,152,152,"37,2",828,"75,2","4,72",135,828,"75,2","4,72",135,"0,00","20,9",0,0,354,"0,304"
L152X152X11.1,"25,6",152,0,0,0,152,152,"32,8",733,"66,5","4,72",119,733,"66,5","4,72",119,"0,00","14,2",0,0,241,"0,304"
L152X152X9.5,"22,2",152,0,0,0,152,152,"28,3",641,"57,5","4,75",103,641,"57,5","4,75",103,"0,00","9,07",0,0,154,"0,304"
L152X152X7.9,"18,5",152,0,0,0,152,152,"23,7",541,"48,3","4,78","86,2",541,"48,3","4,78","86,2","0,00","5,37",0,0,"0,0908","0,304"
L152X102X22.2,"40,3",102,0,0,0,102,102,"51,6",1150,117,"4,72",208,404,"55,2","2,79",103,"0,00","84,5",0,0,"1,08","0,204"
L152X102X19,35,102,0,0,0,102,102,"44,8",1020,102,"4,78",182,359,"48,3","2,84","88,8","0,00","54,5",0,0,709,"0,204"
