mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
2L203X102X15.9X19SLBB,72,102,0,0,0,102,102,"92,3",674,"85,7","2,69",159,10200,482,"10,5",1150,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X14.3SLBB,"65,2",102,0,0,0,102,102,"83,9",620,"78,2","2,72",144,8030,395,"9,78",952,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X14.3X9SLBB,"65,2",102,0,0,0,102,102,"83,9",620,"78,2","2,72",144,8620,415,"10,1",993,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X14.3X19SLBB,"65,2",102,0,0,0,102,102,"83,9",620,"78,2","2,72",144,9240,434,"10,5",1030,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X12.7SLBB,"58,4",102,0,0,0,102,102,"74,8",562,"70,3","2,74",128,7080,347,"9,73",849,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X12.7X9SLBB,"58,4",102,0,0,0,102,102,"74,8",562,"70,3","2,74",128,7620,367,"10,1",883,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X12.7X19SLBB,"58,4",102,0,0,0,102,102,"74,8",562,"70,3","2,74",128,8200,385,"10,5",919,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X11.1SLBB,"51,2",102,0,0,0,102,102,"65,8",504,"62,4","2,77",112,6200,305,"9,7",742,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X11.1X9SLBB,"51,2",102,0,0,0,102,102,"65,8",504,"62,4","2,77",112,6660,320,"10,1",773,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X11.1X19SLBB,"51,2",102,0,0,0,102,102,"65,8",504,"62,4","2,77",112,7120,334,"10,4",806,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
