mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
2L102X102X12.7X9,38,102,0,0,0,,,"48,4",458,"64,2","3,07",115,1040,"98,2","4,65",197,0,0,0,0,0,0
2L102X102X12.7X19,38,102,0,0,0,,,"48,4",458,"64,2","3,07",115,1210,109,5,220,0,0,0,0,0,0
2L102X102X11.1,"33,4",102,0,0,0,,,"42,6",410,"56,7","3,1",102,774,"76,2","4,27",147,0,0,0,0,0,0
2L102X102X11.1X9,"33,4",102,0,0,0,,,"42,6",410,"56,7","3,1",102,899,"84,6","4,6",167,0,0,0,0,0,0
2L102X102X11.1X19,"33,4",102,0,0,0,,,"42,6",410,"56,7","3,1",102,1060,"95,2","4,98",188,0,0,0,0,0,0
2L102X102X9.5,29,102,0,0,0,,,"36,9",360,"49,2","3,12","88,2",666,"65,5","4,24",123,0,0,0,0,0,0
2L102X102X9.5X9,29,102,0,0,0,,,"36,9",360,"49,2","3,12","88,2",770,"72,4","4,57",140,0,0,0,0,0,0
2L102X102X9.5X19,29,102,0,0,0,,,"36,9",360,"49,2","3,12","88,2",895,"80,5","4,93",158,0,0,0,0,0,0
2L102X102X7.9,"24,2",102,0,0,0,,,31,306,"41,6","3,15","74,1",549,"54,1","4,22","98,7",0,0,0,0,0,0
2L102X102X7.9X9,"24,2",102,0,0,0,,,31,306,"41,6","3,15","74,1",641,"60,3","4,55",113,0,0,0,0,0,0
2L102X102X7.9X19,"24,2",102,0,0,0,,,31,306,"41,6","3,15","74,1",745,67,"4,9",128,0,0,0,0,0,0
2L102X102X6.4,"19,6",102,0,0,0,,,"24,9",250,"33,8","3,18","59,6",437,"42,9","4,19",76,0,0,0,0,0,0
2L102X102X6.4X9,"19,6",102,0,0,0,,,"24,9",250,"33,8","3,18","59,6",508,"47,7","4,52","87,8",0,0,0,0,0,0
2L102X102X6.4X19,"19,6",102,0,0,0,,,"24,9",250,"33,8","3,18","59,6",587,"52,8","4,85","99,8",0,0,0,0,0,0
2L89X89X12.7,"32,8","88,9",0,0,0,,,"41,9",302,"48,5","2,67","87,2",599,"67,4","3,78",137,0,0,0,0,0,0
2L89X89X12.7X9,"32,8","88,9",0,0,0,,,"41,9",302,"48,5","2,67","87,2",720,"76,9","4,14",157,0,0,0,0,0,0
2L89X89X12.7X19,"32,8","88,9",0,0,0,,,"41,9",302,"48,5","2,67","87,2",849,"86,2","4,5",177,0,0,0,0,0,0
2L89X89X11.1,"29,2","88,9",0,0,0,,,"37,3",271,"43,3","2,69","77,3",529,"59,5","3,76",117,0,0,0,0,0,0
2L89X89X11.1X9,"29,2","88,9",0,0,0,,,"37,3",271,"43,3","2,69","77,3",624,"66,7","4,09",135,0,0,0,0,0,0
2L89X89X11.1X19,"29,2","88,9",0,0,0,,,"37,3",271,"43,3","2,69","77,3",745,"75,7","4,47",153,0,0,0,0,0,0
2L89X89X9.5,"25,2","88,9",0,0,0,,,"32,3",238,"37,7","2,72","67,5",450,"50,6","3,73",97,0,0,0,0,0,0
2L89X89X9.5X9,"25,2","88,9",0,0,0,,,"32,3",238,"37,7","2,72","67,5",533,"56,9","4,06",112,0,0,0,0,0,0
2L89X89X9.5X19,"25,2","88,9",0,0,0,,,"32,3",238,"37,7","2,72","67,5",629,"63,9","4,42",128,0,0,0,0,0,0
2L89X89X7.9,"21,4","88,9",0,0,0,,,"27,1",203,"31,8","2,74",57,373,42,"3,71",78,0,0,0,0,0,0
2L89X89X7.9X9,"21,4","88,9",0,0,0,,,"27,1",203,"31,8","2,74",57,441,47,"4,04","90,8",0,0,0,0,0,0
2L89X89X7.9X19,"21,4","88,9",0,0,0,,,"27,1",203,"31,8","2,74",57,524,"53,3","4,39",104,0,0,0,0,0,0
2L89X89X6.4,"17,2","88,9",0,0,0,,,"21,9",166,"25,7","2,77","46,2",293,"32,9","3,66","60,1",0,0,0,0,0,0
2L89X89X6.4X9,"17,2","88,9",0,0,0,,,"21,9",166,"25,7","2,77","46,2",349,"37,2","3,99","70,5",0,0,0,0,0,0
2L89X89X6.4X19,"17,2","88,9",0,0,0,,,"21,9",166,"25,7","2,77","46,2",420,"42,8","4,37",81,0,0,0,0,0,0
2L76X76X12.7,28,"76,2",0,0,0,,,"35,6",183,"34,7","2,27","62,6",383,"50,1","3,28",105,0,0,0,0,0,0
2L76X76X12.7X9,28,"76,2",0,0,0,,,"35,6",183,"34,7","2,27","62,6",470,"58,2","3,63",122,0,0,0,0,0,0
2L76X76X12.7X19,28,"76,2",0,0,0,,,"35,6",183,"34,7","2,27","62,6",574,67,"4,01",139,0,0,0,0,0,0
2L76X76X11.1,"24,8","76,2",0,0,0,,,"31,4",165,31,"2,29","55,7",331,"43,4","3,25","88,3",0,0,0,0,0,0
2L76X76X11.1X9,"24,8","76,2",0,0,0,,,"31,4",165,31,"2,29","55,7",408,"50,3","3,61",103,0,0,0,0,0,0
2L76X76X11.1X19,"24,8","76,2",0,0,0,,,"31,4",165,31,"2,29","55,7",499,"58,3","3,99",118,0,0,0,0,0,0
2L76X76X9.5,"21,4","76,2",0,0,0,,,"27,2",146,27,"2,31","48,5",283,"37,2","3,23","73,3",0,0,0,0,0,0
2L76X76X9.5X9,"21,4","76,2",0,0,0,,,"27,2",146,27,"2,31","48,5",349,"43,1","3,58","86,2",0,0,0,0,0,0
2L76X76X9.5X19,"21,4","76,2",0,0,0,,,"27,2",146,27,"2,31","48,5",420,49,"3,94","99,1",0,0,0,0,0,0
2L76X76X7.9,"18,2","76,2",0,0,0,,,23,125,"22,9","2,33","41,3",235,"30,8","3,2","58,8",0,0,0,0,0,0
2L76X76X7.9X9,"18,2","76,2",0,0,0,,,23,125,"22,9","2,33","41,3",286,"35,4","3,53","69,6",0,0,0,0,0,0
2L76X76X7.9X19,"18,2","76,2",0,0,0,,,23,125,"22,9","2,33","41,3",351,41,"3,91","80,6",0,0,0,0,0,0
2L76X76X6.4,"14,6","76,2",0,0,0,,,"18,6",102,"18,7","2,35","33,4",187,"24,6","3,18","45,1",0,0,0,0,0,0
2L76X76X6.4X9,"14,6","76,2",0,0,0,,,"18,6",102,"18,7","2,35","33,4",228,"28,2","3,51","53,9",0,0,0,0,0,0
2L76X76X6.4X19,"14,6","76,2",0,0,0,,,"18,6",102,"18,7","2,35","33,4",277,"32,3","3,86","62,8",0,0,0,0,0,0
2L76X76X4.8,11,"76,2",0,0,0,,,"14,1","79,1","14,2","2,37","25,4",139,"18,4","3,15","32,1",0,0,0,0,0,0
2L76X76X4.8X9,11,"76,2",0,0,0,,,"14,1","79,1","14,2","2,37","25,4",170,21,"3,48","38,8",0,0,0,0,0,0
2L76X76X4.8X19,11,"76,2",0,0,0,,,"14,1","79,1","14,2","2,37","25,4",207,"24,1","3,84","45,6",0,0,0,0,0,0
2L64X64X12.7,23,"63,5",0,0,0,,,"29,2",102,"23,4","1,87","42,3",224,"35,2","2,77",76,0,0,0,0,0,0
2L64X64X12.7X9,23,"63,5",0,0,0,,,"29,2",102,"23,4","1,87","42,3",285,"41,8","3,12",90,0,0,0,0,0,0
2L64X64X12.7X19,23,"63,5",0,0,0,,,"29,2",102,"23,4","1,87","42,3",363,"49,8","3,53",104,0,0,0,0,0,0
2L64X64X9.5,"17,6","63,5",0,0,0,,,"22,3","80,7","18,4","1,9","33,1",165,"25,9","2,72","52,8",0,0,0,0,0,0
2L64X64X9.5X9,"17,6","63,5",0,0,0,,,"22,3","80,7","18,4","1,9","33,1",211,31,"3,07","63,4",0,0,0,0,0,0
2L64X64X9.5X19,"17,6","63,5",0,0,0,,,"22,3","80,7","18,4","1,9","33,1",266,"36,5","3,45","74,1",0,0,0,0,0,0
2L64X64X7.9,"14,8","63,5",0,0,0,,,"18,8","69,5","15,5","1,92",28,134,"21,1","2,67","42,3",0,0,0,0,0,0
2L64X64X7.9X9,"14,8","63,5",0,0,0,,,"18,8","69,5","15,5","1,92",28,172,"25,2","3,02","51,1",0,0,0,0,0,0
2L64X64X7.9X19,"14,8","63,5",0,0,0,,,"18,8","69,5","15,5","1,92",28,218,"29,8","3,4","60,1",0,0,0,0,0,0
2L64X64X6.4,"12,2","63,5",0,0,0,,,"15,4","57,4","12,7","1,94","22,8",107,"16,9","2,64","32,3",0,0,0,0,0,0
2L64X64X6.4X9,"12,2","63,5",0,0,0,,,"15,4","57,4","12,7","1,94","22,8",138,"20,2",3,"39,7",0,0,0,0,0,0
2L64X64X6.4X19,"12,2","63,5",0,0,0,,,"15,4","57,4","12,7","1,94","22,8",175,"23,9","3,38","46,9",0,0,0,0,0,0
2L64X64X4.8,"9,2","63,5",0,0,0,,,"11,6","44,5","9,67","1,96","17,4","79,5","12,5","2,62","22,9",0,0,0,0,0,0
2L64X64X4.8X9,"9,2","63,5",0,0,0,,,"11,6","44,5","9,67","1,96","17,4",102,15,"2,97","28,5",0,0,0,0,0,0
2L64X64X4.8X19,"9,2","63,5",0,0,0,,,"11,6","44,5","9,67","1,96","17,4",129,"17,5","3,33","33,9",0,0,0,0,0,0
2L51X51X9.5,14,"50,8",0,0,0,,,"17,7","39,6","11,4","1,5","20,6","85,3","16,7","2,2","36,1",0,0,0,0,0,0
2L51X51X9.5X9,14,"50,8",0,0,0,,,"17,7","39,6","11,4","1,5","20,6",117,21,"2,57","44,6",0,0,0,0,0,0
2L51X51X9.5X19,14,"50,8",0,0,0,,,"17,7","39,6","11,4","1,5","20,6",156,"25,9","2,97","52,9",0,0,0,0,0,0
2L51X51X7.9,"11,6","50,8",0,0,0,,,15,"34,5","9,77","1,52","17,5","70,3","13,8","2,17","28,7",0,0,0,0,0,0
2L51X51X7.9X9,"11,6","50,8",0,0,0,,,15,"34,5","9,77","1,52","17,5","95,7","17,2","2,53","35,9",0,0,0,0,0,0
2L51X51X7.9X19,"11,6","50,8",0,0,0,,,15,"34,5","9,77","1,52","17,5",128,"21,1","2,92","42,9",0,0,0,0,0,0
2L51X51X6.4,"9,4","50,8",0,0,0,,,"12,2","28,8",8,"1,54","14,4","55,8",11,"2,14","21,8",0,0,0,0,0,0
2L51X51X6.4X9,"9,4","50,8",0,0,0,,,"12,2","28,8",8,"1,54","14,4","75,8","13,6","2,49","27,7",0,0,0,0,0,0
2L51X51X6.4X19,"9,4","50,8",0,0,0,,,"12,2","28,8",8,"1,54","14,4",102,17,"2,9","33,4",0,0,0,0,0,0
2L51X51X4.8,"7,2","50,8",0,0,0,,,"9,29","22,6","6,16","1,55","11,1","41,4","8,14","2,11","15,4",0,0,0,0,0,0
2L51X51X4.8X9,"7,2","50,8",0,0,0,,,"9,29","22,6","6,16","1,55","11,1","56,2","10,1","2,46","19,8",0,0,0,0,0,0
2L51X51X4.8X19,"7,2","50,8",0,0,0,,,"9,29","22,6","6,16","1,55","11,1","75,3","12,5","2,84","24,3",0,0,0,0,0,0
2L51X51X3.2,"4,8","50,8",0,0,0,,,"6,34","15,7","4,23","1,57","7,54","27,3","5,37","2,08","9,6",0,0,0,0,0,0
2L51X51X3.2X9,"4,8","50,8",0,0,0,,,"6,34","15,7","4,23","1,57","7,54",37,"6,65","2,42","12,6",0,0,0,0,0,0
2L51X51X3.2X19,"4,8","50,8",0,0,0,,,"6,34","15,7","4,23","1,57","7,54","49,5","8,21","2,79","15,6",0,0,0,0,0,0
2L203X152X25.4LLBB,131,152,0,0,0,,,169,6740,495,"6,32",895,6240,410,"6,07",883,0,0,0,0,0,0
2L203X152X25.4X9LLBB,131,152,0,0,0,,,169,6740,495,"6,32",895,6910,439,"6,4",964,0,0,0,0,0,0
2L203X152X25.4X19LLBB,131,152,0,0,0,,,169,6740,495,"6,32",895,7700,475,"6,76",1040,0,0,0,0,0,0
2L203X152X22.2LLBB,116,152,0,0,0,,,148,6040,439,"6,35",796,5370,352,"6,02",741,0,0,0,0,0,0
2L203X152X22.2X9LLBB,116,152,0,0,0,,,148,6040,439,"6,35",796,5990,382,"6,35",813,0,0,0,0,0,0
2L203X152X22.2X19LLBB,116,152,0,0,0,,,148,6040,439,"6,35",796,6620,408,"6,68",883,0,0,0,0,0,0
2L203X152X19LLBB,100,152,0,0,0,,,129,5290,383,"6,4",692,4580,300,"5,97",613,0,0,0,0,0,0
2L203X152X19X9LLBB,100,152,0,0,0,,,129,5290,383,"6,4",692,5080,323,"6,27",675,0,0,0,0,0,0
2L203X152X19X19LLBB,100,152,0,0,0,,,129,5290,383,"6,4",692,5660,349,"6,63",736,0,0,0,0,0,0
2L203X152X15.9LLBB,"84,4",152,0,0,0,,,108,4500,323,"6,45",587,3800,249,"5,92",488,0,0,0,0,0,0
2L203X152X15.9X9LLBB,"84,4",152,0,0,0,,,108,4500,323,"6,45",587,4200,267,"6,22",541,0,0,0,0,0,0
2L203X152X15.9X19LLBB,"84,4",152,0,0,0,,,108,4500,323,"6,45",587,4700,290,"6,58",592,0,0,0,0,0,0
2L203X152X14.3LLBB,"76,2",152,0,0,0,,,"98,1",4110,293,"6,48",531,3400,223,"5,89",431,0,0,0,0,0,0
2L203X152X14.3X9LLBB,"76,2",152,0,0,0,,,"98,1",4110,293,"6,48",531,3770,239,"6,2",477,0,0,0,0,0,0
2L203X152X14.3X19LLBB,"76,2",152,0,0,0,,,"98,1",4110,293,"6,48",531,4200,259,"6,55",524,0,0,0,0,0,0
2L203X152X12.7LLBB,"68,2",152,0,0,0,,,"87,7",3700,262,"6,48",479,3020,198,"5,87",374,0,0,0,0,0,0
2L203X152X12.7X9LLBB,"68,2",152,0,0,0,,,"87,7",3700,262,"6,48",479,3340,213,"6,17",416,0,0,0,0,0,0
2L203X152X12.7X19LLBB,"68,2",152,0,0,0,,,"87,7",3700,262,"6,48",479,3710,229,"6,5",457,0,0,0,0,0,0
2L203X152X11.1LLBB,"59,8",152,0,0,0,,,"77,4",3270,231,"6,5",423,2640,174,"5,84",320,0,0,0,0,0,0
2L203X152X11.1X9LLBB,"59,8",152,0,0,0,,,"77,4",3270,231,"6,5",423,2930,187,"6,15",357,0,0,0,0,0,0
2L203X152X11.1X19LLBB,"59,8",152,0,0,0,,,"77,4",3270,231,"6,5",423,3250,200,"6,48",393,0,0,0,0,0,0
2L203X102X25.4LLBB,111,102,0,0,0,,,143,5790,459,"6,38",796,1970,193,"3,71",506,0,0,0,0,0,0
2L203X102X25.4X9LLBB,111,102,0,0,0,,,143,5790,459,"6,38",796,2360,223,"4,06",574,0,0,0,0,0,0
2L203X102X25.4X19LLBB,111,102,0,0,0,,,143,5790,459,"6,38",796,2830,254,"4,45",642,0,0,0,0,0,0
2L203X102X22.2LLBB,"98,6",102,0,0,0,,,126,5200,410,"6,43",711,1690,167,"3,66",420,0,0,0,0,0,0
2L203X102X22.2X9LLBB,"98,6",102,0,0,0,,,126,5200,410,"6,43",711,2010,188,"3,99",479,0,0,0,0,0,0
2L203X102X22.2X19LLBB,"98,6",102,0,0,0,,,126,5200,410,"6,43",711,2410,218,"4,37",539,0,0,0,0,0,0
2L203X102X19LLBB,"85,4",102,0,0,0,,,110,4580,357,"6,48",619,1430,140,"3,61",339,0,0,0,0,0,0
2L203X102X19X9LLBB,"85,4",102,0,0,0,,,110,4580,357,"6,48",619,1700,160,"3,94",392,0,0,0,0,0,0
2L203X102X19X19LLBB,"85,4",102,0,0,0,,,110,4580,357,"6,48",619,2020,182,"4,29",442,0,0,0,0,0,0
2L203X102X15.9LLBB,72,102,0,0,0,,,"92,3",3910,302,"6,5",528,1150,113,"3,53",264,0,0,0,0,0,0
2L203X102X15.9X9LLBB,72,102,0,0,0,,,"92,3",3910,302,"6,5",528,1370,129,"3,86",308,0,0,0,0,0,0
2L203X102X15.9X19LLBB,72,102,0,0,0,,,"92,3",3910,302,"6,5",528,1640,148,"4,22",352,0,0,0,0,0,0
2L203X102X14.3LLBB,"65,2",102,0,0,0,,,"83,9",3570,274,"6,53",479,1030,102,"3,51",231,0,0,0,0,0,0
2L203X102X14.3X9LLBB,"65,2",102,0,0,0,,,"83,9",3570,274,"6,53",479,1230,116,"3,84",270,0,0,0,0,0,0
2L203X102X14.3X19LLBB,"65,2",102,0,0,0,,,"83,9",3570,274,"6,53",479,1470,133,"4,19",310,0,0,0,0,0,0
2L203X102X12.7LLBB,"58,4",102,0,0,0,,,"74,8",3210,246,"6,55",429,920,"90,5","3,51",197,0,0,0,0,0,0
2L203X102X12.7X9LLBB,"58,4",102,0,0,0,,,"74,8",3210,246,"6,55",429,1090,102,"3,81",233,0,0,0,0,0,0
2L203X102X12.7X19LLBB,"58,4",102,0,0,0,,,"74,8",3210,246,"6,55",429,1280,115,"4,14",269,0,0,0,0,0,0
2L203X102X11.1LLBB,"51,2",102,0,0,0,,,"65,8",2850,216,"6,58",380,795,"78,3","3,48",166,0,0,0,0,0,0
2L203X102X11.1X9LLBB,"51,2",102,0,0,0,,,"65,8",2850,216,"6,58",380,941,"88,5","3,78",197,0,0,0,0,0,0
2L203X102X11.1X19LLBB,"51,2",102,0,0,0,,,"65,8",2850,216,"6,58",380,1120,100,"4,11",228,0,0,0,0,0,0
2L178X102X19LLBB,"77,6",102,0,0,0,,,100,3150,275,"5,61",485,1420,139,"3,76",324,0,0,0,0,0,0
2L178X102X19X9LLBB,"77,6",102,0,0,0,,,100,3150,275,"5,61",485,1670,157,"4,09",372,0,0,0,0,0,0
2L178X102X19X19LLBB,"77,6",102,0,0,0,,,100,3150,275,"5,61",485,1980,179,"4,45",420,0,0,0,0,0,0
2L178X102X15.9LLBB,"65,4",102,0,0,0,,,"83,9",2700,233,"5,66",410,1140,112,"3,68",254,0,0,0,0,0,0
2L178X102X15.9X9LLBB,"65,4",102,0,0,0,,,"83,9",2700,233,"5,66",410,1350,127,"4,01",293,0,0,0,0,0,0
2L178X102X15.9X19LLBB,"65,4",102,0,0,0,,,"83,9",2700,233,"5,66",410,1620,146,"4,39",333,0,0,0,0,0,0
2L178X102X12.7LLBB,53,102,0,0,0,,,"67,7",2210,190,"5,72",334,907,"89,3","3,66",188,0,0,0,0,0,0
2L178X102X12.7X9LLBB,53,102,0,0,0,,,"67,7",2210,190,"5,72",334,1070,100,"3,96",221,0,0,0,0,0,0
2L178X102X12.7X19LLBB,53,102,0,0,0,,,"67,7",2210,190,"5,72",334,1260,114,"4,32",254,0,0,0,0,0,0
2L178X102X11.1LLBB,"46,8",102,0,0,0,,,"59,7",1960,167,"5,74",297,787,"77,3","3,63",159,0,0,0,0,0,0
2L178X102X11.1X9LLBB,"46,8",102,0,0,0,,,"59,7",1960,167,"5,74",297,924,"86,9","3,94",188,0,0,0,0,0,0
2L178X102X11.1X19LLBB,"46,8",102,0,0,0,,,"59,7",1960,167,"5,74",297,1090,"97,8","4,27",216,0,0,0,0,0,0
2L178X102X9.5LLBB,"40,4",102,0,0,0,,,"51,6",1710,145,"5,77",256,670,66,"3,61",131,0,0,0,0,0,0
2L178X102X9.5X9LLBB,"40,4",102,0,0,0,,,"51,6",1710,145,"5,77",256,791,"74,4","3,91",156,0,0,0,0,0,0
2L178X102X9.5X19LLBB,"40,4",102,0,0,0,,,"51,6",1710,145,"5,77",256,928,"83,6","4,24",180,0,0,0,0,0,0
2L152X102X22.2LLBB,81,102,0,0,0,,,103,2310,234,"4,72",416,1640,161,"3,99",380,0,0,0,0,0,0
2L152X102X22.2X9LLBB,81,102,0,0,0,,,103,2310,234,"4,72",416,1950,184,"4,34",429,0,0,0,0,0,0
2L152X102X22.2X19LLBB,81,102,0,0,0,,,103,2310,234,"4,72",416,2310,208,"4,72",479,0,0,0,0,0,0
2L152X102X19LLBB,"70,2",102,0,0,0,,,"89,7",2040,205,"4,78",364,1390,137,"3,94",310,0,0,0,0,0,0
2L152X102X19X9LLBB,"70,2",102,0,0,0,,,"89,7",2040,205,"4,78",364,1630,153,"4,27",352,0,0,0,0,0,0
2L152X102X19X19LLBB,"70,2",102,0,0,0,,,"89,7",2040,205,"4,78",364,1940,174,"4,65",397,0,0,0,0,0,0
2L152X102X15.9LLBB,"59,6",102,0,0,0,,,"75,5",1750,174,"4,8",310,1140,112,"3,89",244,0,0,0,0,0,0
2L152X102X15.9X9LLBB,"59,6",102,0,0,0,,,"75,5",1750,174,"4,8",310,1340,126,"4,22",280,0,0,0,0,0,0
2L152X102X15.9X19LLBB,"59,6",102,0,0,0,,,"75,5",1750,174,"4,8",310,1580,142,"4,57",316,0,0,0,0,0,0
2L152X102X14.3LLBB,"53,6",102,0,0,0,,,"68,4",1600,158,"4,83",282,1020,100,"3,86",213,0,0,0,0,0,0
2L152X102X14.3X9LLBB,"53,6",102,0,0,0,,,"68,4",1600,158,"4,83",282,1200,113,"4,19",246,0,0,0,0,0,0
2L152X102X14.3X19LLBB,"53,6",102,0,0,0,,,"68,4",1600,158,"4,83",282,1420,127,"4,55",279,0,0,0,0,0,0
2L152X102X12.7LLBB,"48,2",102,0,0,0,,,"61,3",1440,141,"4,85",252,903,"88,8","3,84",184,0,0,0,0,0,0
2L152X102X12.7X9LLBB,"48,2",102,0,0,0,,,"61,3",1440,141,"4,85",252,1070,100,"4,17",213,0,0,0,0,0,0
2L152X102X12.7X19LLBB,"48,2",102,0,0,0,,,"61,3",1440,141,"4,85",252,1240,112,"4,5",243,0,0,0,0,0,0
2L152X102X11.1LLBB,"42,6",102,0,0,0,,,"53,9",1280,125,"4,88",223,783,77,"3,81",155,0,0,0,0,0,0
2L152X102X11.1X9LLBB,"42,6",102,0,0,0,,,"53,9",1280,125,"4,88",223,912,"85,7","4,11",180,0,0,0,0,0,0
2L152X102X11.1X19LLBB,"42,6",102,0,0,0,,,"53,9",1280,125,"4,88",223,1080,97,"4,47",206,0,0,0,0,0,0
2L152X102X9.5LLBB,"36,6",102,0,0,0,,,"46,6",1120,108,"4,9",193,666,"65,5","3,78",128,0,0,0,0,0,0
2L152X102X9.5X9LLBB,"36,6",102,0,0,0,,,"46,6",1120,108,"4,9",193,778,"73,3","4,09",150,0,0,0,0,0,0
2L152X102X9.5X19LLBB,"36,6",102,0,0,0,,,"46,6",1120,108,"4,9",193,920,"82,8","4,45",172,0,0,0,0,0,0
2L152X102X7.9LLBB,"30,6",102,0,0,0,,,"39,1",949,"90,8","4,93",163,554,"54,4","3,76",103,0,0,0,0,0,0
2L152X102X7.9X9LLBB,"30,6",102,0,0,0,,,"39,1",949,"90,8","4,93",163,645,"60,6","4,06",121,0,0,0,0,0,0
2L152X102X7.9X19LLBB,"30,6",102,0,0,0,,,"39,1",949,"90,8","4,93",163,762,"68,5","4,42",140,0,0,0,0,0,0
2L152X89X12.7LLBB,"45,4","88,9",0,0,0,,,"58,1",1380,139,"4,88",246,604,"67,8","3,23",150,0,0,0,0,0,0
2L152X89X12.7X9LLBB,"45,4","88,9",0,0,0,,,"58,1",1380,139,"4,88",246,733,"78,2","3,56",179,0,0,0,0,0,0
2L152X89X12.7X19LLBB,"45,4","88,9",0,0,0,,,"58,1",1380,139,"4,88",246,887,"90,1","3,91",205,0,0,0,0,0,0
2L152X89X9.5LLBB,"34,6","88,9",0,0,0,,,"44,4",1070,106,"4,9",188,454,51,"3,2",104,0,0,0,0,0,0
2L152X89X9.5X9LLBB,"34,6","88,9",0,0,0,,,"44,4",1070,106,"4,9",188,545,"58,2","3,51",125,0,0,0,0,0,0
2L152X89X9.5X19LLBB,"34,6","88,9",0,0,0,,,"44,4",1070,106,"4,9",188,662,"67,2","3,86",147,0,0,0,0,0,0
2L152X89X7.9LLBB,29,"88,9",0,0,0,,,"37,3",907,"89,1","4,93",159,376,"42,3","3,18","83,1",0,0,0,0,0,0
2L152X89X7.9X9LLBB,29,"88,9",0,0,0,,,"37,3",907,"89,1","4,93",159,450,48,"3,48",101,0,0,0,0,0,0
2L152X89X7.9X19LLBB,29,"88,9",0,0,0,,,"37,3",907,"89,1","4,93",159,541,"54,9","3,81",118,0,0,0,0,0,0
2L127X89X19LLBB,"58,6","88,9",0,0,0,,,"75,5",1160,140,"3,94",249,941,106,"3,53",246,0,0,0,0,0,0
2L127X89X19X9LLBB,"58,6","88,9",0,0,0,,,"75,5",1160,140,"3,94",249,1140,122,"3,89",282,0,0,0,0,0,0
2L127X89X19X19LLBB,"58,6","88,9",0,0,0,,,"75,5",1160,140,"3,94",249,1370,140,"4,27",318,0,0,0,0,0,0
2L127X89X15.9LLBB,"49,8","88,9",0,0,0,,,"63,6",999,119,"3,96",213,770,"86,7","3,48",193,0,0,0,0,0,0
2L127X89X15.9X9LLBB,"49,8","88,9",0,0,0,,,"63,6",999,119,"3,96",213,924,"98,7","3,81",223,0,0,0,0,0,0
2L127X89X15.9X19LLBB,"49,8","88,9",0,0,0,,,"63,6",999,119,"3,96",213,1120,113,"4,19",254,0,0,0,0,0,0
2L127X89X12.7LLBB,"40,4","88,9",0,0,0,,,"51,6",832,"97,3","4,01",175,608,"68,3","3,43",144,0,0,0,0,0,0
2L127X89X12.7X9LLBB,"40,4","88,9",0,0,0,,,"51,6",832,"97,3","4,01",175,728,"77,8","3,76",169,0,0,0,0,0,0
2L127X89X12.7X19LLBB,"40,4","88,9",0,0,0,,,"51,6",832,"97,3","4,01",175,874,"88,8","4,11",193,0,0,0,0,0,0
2L127X89X9.5LLBB,"30,8","88,9",0,0,0,,,"39,4",645,"74,7","4,04",134,450,"50,6","3,38",101,0,0,0,0,0,0
2L127X89X9.5X9LLBB,"30,8","88,9",0,0,0,,,"39,4",645,"74,7","4,04",134,541,"57,8","3,71",119,0,0,0,0,0,0
2L127X89X9.5X19LLBB,"30,8","88,9",0,0,0,,,"39,4",645,"74,7","4,04",134,641,"65,1","4,04",138,0,0,0,0,0,0
2L127X89X7.9LLBB,"25,8","88,9",0,0,0,,,33,549,"62,9","4,06",113,371,"41,8","3,35","80,3",0,0,0,0,0,0
2L127X89X7.9X9LLBB,"25,8","88,9",0,0,0,,,33,549,"62,9","4,06",113,441,47,"3,66",96,0,0,0,0,0,0
2L127X89X7.9X19LLBB,"25,8","88,9",0,0,0,,,33,549,"62,9","4,06",113,533,"54,1","4,01",112,0,0,0,0,0,0
2L127X89X6.4LLBB,"20,8","88,9",0,0,0,,,"26,7",445,"50,8","4,09","91,1",296,"33,3","3,33","61,5",0,0,0,0,0,0
2L127X89X6.4X9LLBB,"20,8","88,9",0,0,0,,,"26,7",445,"50,8","4,09","91,1",353,"37,7","3,63","74,2",0,0,0,0,0,0
2L127X89X6.4X19LLBB,"20,8","88,9",0,0,0,,,"26,7",445,"50,8","4,09","91,1",425,"43,1","3,99","86,9",0,0,0,0,0,0
2L127X76X12.7LLBB,38,"76,2",0,0,0,,,"48,4",787,"94,7","4,01",167,385,"50,5","2,82",115,0,0,0,0,0,0
2L127X76X12.7X9LLBB,38,"76,2",0,0,0,,,"48,4",787,"94,7","4,01",167,479,"59,2","3,15",138,0,0,0,0,0,0
2L127X76X12.7X19LLBB,38,"76,2",0,0,0,,,"48,4",787,"94,7","4,01",167,604,"70,5","3,53",161,0,0,0,0,0,0
2L127X76X11.1LLBB,"33,6","76,2",0,0,0,,,"42,7",699,"83,9","4,04",148,333,"43,8","2,79","96,2",0,0,0,0,0,0
2L127X76X11.1X9LLBB,"33,6","76,2",0,0,0,,,"42,7",699,"83,9","4,04",148,416,"51,5","3,12",117,0,0,0,0,0,0
2L127X76X11.1X19LLBB,"33,6","76,2",0,0,0,,,"42,7",699,"83,9","4,04",148,524,"61,1","3,51",137,0,0,0,0,0,0
