mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
HSS228.6X76.2X4.8,"21,6",0,0,0,0,,,"25,7",1570,137,"7,8",177,276,"72,4","3,28","80,6",0,787,0,0,0,0
HSS203.2X203.2X15.9,88,0,0,0,0,,,106,6080,598,"7,59",733,6080,598,"7,59",733,0,10200,0,0,0,0
HSS203.2X203.2X12.7,"72,5",0,0,0,0,,,"87,1",5200,511,"7,72",615,5200,511,"7,72",615,0,8490,0,0,0,0
HSS203.2X203.2X9.5,56,0,0,0,0,,,"67,1",4160,408,"7,87",482,4160,408,"7,87",482,0,6660,0,0,0,0
HSS203.2X203.2X7.9,"47,3",0,0,0,0,,,"56,5",3560,351,"7,95",411,3560,351,"7,95",411,0,5660,0,0,0,0
HSS203.2X203.2X6.4,"38,4",0,0,0,0,,,"45,8",2940,290,8,336,2940,290,8,336,0,4620,0,0,0,0
HSS203.2X203.2X4.8,"29,2",0,0,0,0,,,"34,6",2260,223,"8,08",257,2260,223,"8,08",257,0,3520,0,0,0,0
HSS203.2X203.2X3.2,"19,7",0,0,0,0,,,"23,4",1560,153,"8,15",175,1560,153,"8,15",175,0,2390,0,0,0,0
HSS203.2X152.4X15.9,"75,3",0,0,0,0,,,"90,3",4750,467,"7,24",592,3010,395,"5,77",483,0,6240,0,0,0,0
HSS203.2X152.4X12.7,"62,4",0,0,0,0,,,"74,8",4090,403,"7,39",500,2600,341,"5,89",408,0,5290,0,0,0,0
HSS203.2X152.4X9.5,"48,4",0,0,0,0,,,"57,9",3290,324,"7,54",395,2110,277,"6,05",324,0,4160,0,0,0,0
HSS203.2X152.4X7.9,41,0,0,0,0,,,49,2840,280,"7,62",338,1820,239,"6,1",277,0,3570,0,0,0,0
HSS203.2X152.4X6.4,"33,3",0,0,0,0,,,"39,8",2360,233,"7,7",277,1520,198,"6,17",228,0,2930,0,0,0,0
HSS203.2X152.4X4.8,"25,4",0,0,0,0,,,"30,1",1820,179,"7,77",213,1170,154,"6,25",175,0,2240,0,0,0,0
HSS203.2X101.6X15.9,"62,6",0,0,0,0,,,"75,5",3410,336,"6,71",449,1110,218,"3,84",272,0,2930,0,0,0,0
HSS203.2X101.6X12.7,"52,2",0,0,0,0,,,"62,8",2990,293,"6,88",385,982,193,"3,96",234,0,2540,0,0,0,0
HSS203.2X101.6X9.5,"40,8",0,0,0,0,,,"48,9",2440,241,"7,06",308,816,161,"4,09",188,0,2050,0,0,0,0
HSS203.2X101.6X7.9,"34,7",0,0,0,0,,,"41,5",2120,210,"7,16",264,716,141,"4,14",162,0,1770,0,0,0,0
HSS203.2X101.6X6.4,"28,3",0,0,0,0,,,"33,8",1770,174,"7,24",218,599,118,"4,22",134,0,1470,0,0,0,0
HSS203.2X101.6X4.8,"21,6",0,0,0,0,,,"25,7",1380,136,"7,32",167,470,"92,6","4,29",104,0,1130,0,0,0,0
HSS203.2X101.6X3.2,"14,7",0,0,0,0,,,"17,4",953,"93,9","7,42",115,329,"64,7","4,34","71,4",0,778,0,0,0,0
HSS203.2X76.2X12.7,"47,2",0,0,0,0,,,"56,8",2440,239,"6,55",328,487,128,"2,92",158,0,1430,0,0,0,0
HSS203.2X76.2X9.5,37,0,0,0,0,,,"44,4",2020,198,"6,73",264,416,109,"3,05",129,0,1190,0,0,0,0
HSS203.2X76.2X7.9,"31,5",0,0,0,0,,,"37,7",1760,174,"6,83",228,367,"96,2","3,12",112,0,1040,0,0,0,0
HSS203.2X76.2X6.4,"25,7",0,0,0,0,,,"30,8",1480,146,"6,93",188,312,"81,8","3,18","93,4",0,866,0,0,0,0
HSS203.2X76.2X4.8,"19,7",0,0,0,0,,,"23,4",1160,114,"7,04",145,247,"64,9","3,25","72,6",0,674,0,0,0,0
HSS203.2X76.2X3.2,"13,4",0,0,0,0,,,"15,9",803,"79,1","7,11",100,175,"45,9","3,33","50,3",0,470,0,0,0,0
HSS203.2X50.8X9.5,"33,2",0,0,0,0,,,"39,9",1590,157,"6,32",220,155,"61,1","1,97","75,5",0,504,0,0,0,0
HSS203.2X50.8X7.9,"28,4",0,0,0,0,,,"33,9",1400,138,"6,43",190,141,"55,4","2,04","66,5",0,454,0,0,0,0
