Perfis,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),D (mm),tw Espessura da Alma (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Iy (cm⁴),Wy (cm³),ry (cm),It (cm⁴),Esbeltez da Alma (h/tw),Cw (cm⁶),u (Área de pintura - m²/m),xg,x0,r0,bf/bw,bw/t,D/bw,D/bw_min,Verificação
"75 x 40 x 15 x 2,65","3,4859927003516",75,40,15,"2,65","64,4","64,4","4,44075503229503","38,2162274081169","10,1909939754978","2,93356353090559","9,72114520652208","3,88614211383126","1,47955225028725","0,10395067404764","24,3018867924528","143,090317640858","172,875661596039","1,49851011059958","3,38758915230479","4,71917684729047","0,533333333333333","28,3018867924528","0,2","0,2581",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
75 x 40 x 15 x 3,"3,89221056292836",75,40,15,3,63,63,"4,95823001646924","42,0812559867322","11,2216682631286","2,91327184523723","10,5812028137242","4,22621284925609","1,46084515418418","0,148746900494077",21,"155,26644064254","171,274333882308","1,49629202523798","3,344879405838","4,670057777839","0,533333333333333",25,"0,2","0,2581",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 40 x 17 x 1,2","1,94155369006854",100,40,17,"1,2","95,2","95,2","2,47331680263508","38,2913664385124","7,65827328770249","3,93469033311366","6,00997467651957","2,29281364725179","1,55882171509088","0,011871920652648","79,3333333333333","148,492686898667","208,509733552923","1,37877751917465","3,3624296997452","5,40533501669097","0,4","83,3333333333333","0,17","0,1446",DISPENSA-SE A ANÁLISE DA FLAMBAGEM DISTORCIONAL
"100 x 40 x 17 x 1,5","2,40371514073209",100,40,17,"1,5",94,94,"3,06205750411731","46,9698417175812","9,39396834351625","3,91654280276357","7,29542832182922","2,78199210269394","1,54354297764997","0,02296543128088","62,6666666666667","179,896154920604","207,137166941154","1,37762435962176","3,32695326032387","5,36567334508087","0,4","66,6666666666667","0,17","0,1858",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
100 x 40 x 17 x 2,"3,15333802796816",100,40,17,2,92,92,"4,01699111843078","60,6579123089528","12,1315824617906","3,88591497351465","9,25425392884134","3,52630605939305","1,5178199968846","0,053559881579077",46,"227,565889865908","204,849555921539","1,37565209231039","3,26779752379588","5,29930310331978","0,4",50,"0,17","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 40 x 17 x 2,25","3,5184715666472",100,40,17,"2,25",91,91,"4,48212938426395","67,1428140903533","13,4285628180707","3,87041536591131","10,1498858965234","3,86609526904961","1,50483327390548","0,075635933359454","40,4444444444444","249,309336861247","203,705750411731","1,37464154652905","3,23820581892954","5,26598663240657","0,4","44,4444444444444","0,17","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 40 x 17 x 2,65","4,0892652003516",100,40,17,"2,65","89,4","89,4","5,20925503229503","77,0276909418774","15,4055381883755","3,84534782753608","11,470169350049","4,36624422928652","1,48387427242541","0,121939978214306","33,7358490566038","281,342098049113","201,875661596039","1,37298951966247","3,19083901403582","5,2124885021068","0,4","37,7358490566038","0,17","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
100 x 40 x 17 x 3,"4,57516056292836",100,40,17,3,88,88,"5,82823001646924","85,187429202713","17,0374858405426","3,82313306932094","12,5146197327046","4,76113924472679","1,46534702599981","0,174846900494077","29,3333333333333","306,709343969984","200,274333882308","1,37150730330663","3,1493719595953","5,1654750132226","0,4","33,3333333333333","0,17","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 40 x 17 x 3,35","5,04841012971817",100,40,17,"3,35","86,6","86,6","6,43109570664734","92,8965808693559","18,5793161738712","3,8006456333017","13,4587408662917","5,11737163112849","1,44663753506728","0,240576571892833","25,8507462686567","329,714057642082","198,673006168577","1,36998955002145","3,10788431177112","5,11826262350359","0,4","29,8507462686567","0,17","0,25",DEVE-SE VERIFICAR A FLAMBAGEM DISTORCIONA
"100 x 50 x 17 x 1,2","2,12995369006854",100,50,17,"1,2","95,2","95,2","2,71331680263508","44,1482304385124","8,82964608770249","4,03372603531619","10,1164281809514","3,14935665426764","1,93091585772345","0,013023920652648","79,3333333333333","246,608774145169","228,509733552923","1,78777944465488","4,28117672165015","6,19094951518704","0,5","83,3333333333333","0,17","0,1418",DISPENSA-SE A ANÁLISE DA FLAMBAGEM DISTORCIONAL
